US,Penny-.01,Nickel-.05,Dime-.10,Quarter-.25,Dollarcoin-1
EU,1Eurocentcoin-0.01,2Eurocentcoin-0.02,5Eurocentcoin-0.05,10Eurocentcoin-0.10,20Eurocentcoin-0.20,50Eurocentcoin-0.50,Eurocoin-1,2Eurocoin-2
BR,1Pencecoin-1,2Pencecoin-2,5Pencecoin-5,10Pencecoin-10,20Pencecoin-20,50Pencecoin-50,1Poundcoin-100,2Poundcoin-200
JP,1Yencoin-1,5Yencoin-5,10Yencoin-10,50Yencoin-50,100Yencoin-100,500Yencoin-500
CH,1Fencoin-.01,2Fencoin-.02,5Fencoin-.05,1Jiaocoin-.10,2Jiaocoin-.20,5Jiaocoin-.50,1Yuancoin-1
